				R openBLAS					R MKL					MKL vs openBLAS		
				Runtime			Speedup		Runtime			Speedup		Mean & stdev	1.3	0.7
p	n	m	missing	cor	naive	matrix	naive	matrix	cor	naive	matrix	naive	matrix			
250	7000	750	0.4	11.968	3.042	0.429	3.9	27.9	11.898	2.996	0.405	4.0	29.4		1.1	
250	7000	750	0.5	12.065	3.040	0.531	4.0	22.7	11.913	2.999	0.389	4.0	30.6		1.4	
250	7250	750	0	13.123	3.240	0.465	4.1	28.2	12.313	3.134	0.446	3.9	27.6		1.0	
250	7250	750	0.1	12.490	3.172	0.457	3.9	27.3	12.372	3.138	0.486	3.9	25.5		0.9	
250	7250	750	0.2	12.480	3.163	0.410	3.9	30.4	12.550	3.133	0.446	4.0	28.1		0.9	
250	7250	750	0.3	12.512	3.183	0.429	3.9	29.2	12.618	3.127	0.453	4.0	27.9		0.9	
250	7250	750	0.4	12.523	3.203	0.370	3.9	33.8	12.391	3.118	0.593	4.0	20.9		0.6	
250	7250	750	0.5	12.569	3.166	0.446	4.0	28.2	12.305	3.135	0.457	3.9	26.9		1.0	
250	7500	750	0	13.039	3.291	0.445	4.0	29.3	12.765	3.229	0.490	4.0	26.1		0.9	
250	7500	750	0.1	13.583	3.283	0.468	4.1	29.0	13.180	3.226	0.441	4.1	29.9		1.1	
250	7500	750	0.2	12.870	3.282	0.457	3.9	28.2	12.807	3.231	0.500	4.0	25.6		0.9	
250	7500	750	0.3	12.921	3.305	0.430	3.9	30.0	12.778	3.241	0.418	3.9	30.6		1.0	
250	7500	750	0.4	12.910	3.288	0.463	3.9	27.9	12.853	3.237	0.421	4.0	30.5		1.1	
250	7500	750	0.5	12.979	3.300	0.483	3.9	26.9	12.725	3.226	0.425	3.9	29.9		1.1	
250	7750	750	0	13.313	3.403	0.431	3.9	30.9	13.294	3.375	0.427	3.9	31.1		1.0	
250	7750	750	0.1	13.446	3.383	0.468	4.0	28.7	13.171	3.372	0.428	3.9	30.8		1.1	
250	7750	750	0.2	13.517	3.377	0.515	4.0	26.2	13.216	3.363	0.410	3.9	32.2		1.3	
250	7750	750	0.3	13.528	3.393	0.536	4.0	25.2	13.610	3.387	0.518	4.0	26.3		1.0	
250	7750	750	0.4	13.433	3.392	0.521	4.0	25.8	13.228	3.366	0.536	3.9	24.7		1.0	
250	7750	750	0.5	13.475	3.381	0.527	4.0	25.6	13.268	3.377	0.473	3.9	28.1		1.1	
250	8000	750	0	13.893	3.526	0.506	3.9	27.5	13.598	3.490	0.472	3.9	28.8		1.1	
250	8000	750	0.1	13.892	3.521	0.502	3.9	27.7	13.667	3.493	0.513	3.9	26.6		1.0	
250	8000	750	0.2	13.705	3.535	0.462	3.9	29.7	13.681	3.477	0.526	3.9	26.0		0.9	
250	8000	750	0.3	14.161	3.547	0.487	4.0	29.1	13.631	3.482	0.457	3.9	29.8		1.1	
250	8000	750	0.4	13.735	3.556	0.470	3.9	29.2	13.600	3.507	0.446	3.9	30.5		1.1	
250	8000	750	0.5	13.856	3.527	0.464	3.9	29.9	13.579	3.468	0.492	3.9	27.6		0.9	
250	8250	750	0	14.178	3.639	0.424	3.9	33.4	14.567	3.598	0.426	4.0	34.2		1.0	
250	8250	750	0.1	14.565	3.651	0.489	4.0	29.8	14.015	3.596	0.466	3.9	30.1		1.0	
250	8250	750	0.2	14.207	3.650	0.403	3.9	35.3	14.014	3.583	0.555	3.9	25.3		0.7	
250	8250	750	0.3	14.277	3.623	0.463	3.9	30.8	14.027	3.574	0.513	3.9	27.3		0.9	
250	8250	750	0.4	14.187	3.642	0.486	3.9	29.2	14.287	3.568	0.452	4.0	31.6		1.1	
250	8250	750	0.5	14.579	3.643	0.534	4.0	27.3	14.230	3.586	0.546	4.0	26.1		1.0	
250	8500	750	0	14.611	3.755	0.485	3.9	30.1	14.939	3.704	0.489	4.0	30.6		1.0	
250	8500	750	0.1	14.676	3.775	0.463	3.9	31.7	14.751	3.716	0.465	4.0	31.7		1.0	
250	8500	750	0.2	14.682	3.803	0.494	3.9	29.7	14.661	3.716	0.475	3.9	30.9		1.0	
250	8500	750	0.3	14.699	3.747	0.481	3.9	30.6	14.499	3.721	0.517	3.9	28.0		0.9	
250	8500	750	0.4	14.634	3.779	0.403	3.9	36.3	14.462	3.713	0.471	3.9	30.7		0.9	
250	8500	750	0.5	14.620	3.796	0.488	3.9	30.0	14.456	3.710	0.489	3.9	29.6		1.0	
250	8750	750	0	15.396	3.917	0.494	3.9	31.2	14.874	3.805	0.513	3.9	29.0		1.0	
250	8750	750	0.1	15.077	3.909	0.448	3.9	33.7	14.869	3.890	0.512	3.8	29.0		0.9	
250	8750	750	0.2	15.054	3.909	0.476	3.9	31.6	14.885	3.810	0.456	3.9	32.6		1.0	
250	8750	750	0.3	15.746	3.963	0.492	4.0	32.0	14.897	3.803	0.493	3.9	30.2		1.0	
250	8750	750	0.4	15.115	3.908	0.460	3.9	32.9	15.009	3.816	0.498	3.9	30.1		0.9	
250	8750	750	0.5	15.133	3.954	0.467	3.8	32.4	14.878	3.820	0.572	3.9	26.0		0.8	
250	9000	750	0	15.598	4.076	0.462	3.8	33.8	15.290	3.902	0.559	3.9	27.4		0.8	
250	9000	750	0.1	15.586	4.058	0.551	3.8	28.3	15.300	3.919	0.476	3.9	32.1		1.2	
250	9000	750	0.2	15.572	4.062	0.440	3.8	35.4	15.294	3.931	0.488	3.9	31.3		0.9	
250	9000	750	0.3	15.501	3.995	0.482	3.9	32.2	15.458	3.914	0.585	3.9	26.4		0.8	
250	9000	750	0.4	15.512	4.039	0.484	3.8	32.0	15.626	3.917	0.565	4.0	27.7		0.9	
250	9000	750	0.5	15.536	4.029	0.457	3.9	34.0	15.301	3.935	0.522	3.9	29.3		0.9	
250	9250	750	0	15.930	4.118	0.512	3.9	31.1	15.766	4.001	0.502	3.9	31.4		1.0	
250	9250	750	0.1	16.031	4.122	0.479	3.9	33.5	15.801	4.031	0.541	3.9	29.2		0.9	
250	9250	750	0.2	15.973	4.117	0.433	3.9	36.9	15.865	4.041	0.548	3.9	29.0		0.8	
250	9250	750	0.3	15.957	4.111	0.452	3.9	35.3	15.862	4.039	0.589	3.9	26.9		0.8	
250	9250	750	0.4	16.042	4.115	0.547	3.9	29.3	15.953	4.049	0.571	3.9	27.9		1.0	
250	9250	750	0.5	16.069	4.103	0.562	3.9	28.6	15.751	4.038	0.577	3.9	27.3		1.0	
250	9500	750	0	16.791	4.242	0.501	4.0	33.5	16.192	4.129	0.619	3.9	26.2		0.8	
250	9500	750	0.1	16.488	4.240	0.524	3.9	31.5	16.158	4.140	0.492	3.9	32.8		1.1	
250	9500	750	0.2	16.620	4.234	0.458	3.9	36.3	16.197	4.166	0.538	3.9	30.1		0.9	
250	9500	750	0.3	16.397	4.292	0.468	3.8	35.0	16.353	4.151	0.571	3.9	28.6		0.8	
250	9500	750	0.4	16.340	4.247	0.552	3.8	29.6	16.168	4.131	0.538	3.9	30.1		1.0	
250	9500	750	0.5	16.619	4.224	0.543	3.9	30.6	16.162	4.169	0.516	3.9	31.3		1.1	
250	9750	750	0	16.896	4.367	0.490	3.9	34.5	16.712	4.256	0.674	3.9	24.8		0.7	
250	9750	750	0.1	16.881	4.364	0.421	3.9	40.1	16.645	4.258	0.552	3.9	30.2		0.8	
250	9750	750	0.2	17.105	4.352	0.488	3.9	35.1	16.585	4.242	0.613	3.9	27.1		0.8	
250	9750	750	0.3	17.243	4.331	0.515	4.0	33.5	16.588	4.270	0.495	3.9	33.5		1.0	
250	9750	750	0.4	16.838	4.386	0.476	3.8	35.4	16.612	4.240	0.512	3.9	32.4		0.9	
250	9750	750	0.5	16.802	4.346	0.527	3.9	31.9	16.613	4.236	0.670	3.9	24.8		0.8	
250	10000	750	0	17.385	4.454	0.452	3.9	38.5	17.070	4.354	0.549	3.9	31.1		0.8	
250	10000	750	0.1	17.590	4.480	0.510	3.9	34.5	16.998	4.373	0.598	3.9	28.4		0.9	
250	10000	750	0.2	17.321	4.486	0.556	3.9	31.2	17.078	4.330	0.630	3.9	27.1		0.9	
250	10000	750	0.3	17.442	4.493	0.524	3.9	33.3	17.091	4.406	0.626	3.9	27.3		0.8	
250	10000	750	0.4	17.675	4.448	0.492	4.0	35.9	17.141	4.361	0.567	3.9	30.2		0.9	
250	10000	750	0.5	18.277	4.494	0.479	4.1	38.2	17.010	4.392	0.528	3.9	32.2		0.9	
250	250	1000	0	0.575	0.140	0.257	4.1	2.2	0.684	0.153	0.057	4.5	12.0		4.5	
250	250	1000	0.1	0.616	0.151	0.241	4.1	2.6	0.700	0.139	0.059	5.0	11.9		4.1	
250	250	1000	0.2	0.584	0.146	0.250	4.0	2.3	0.707	0.138	0.073	5.1	9.7		3.4	
250	250	1000	0.3	0.586	0.140	0.250	4.2	2.3	0.694	0.153	0.072	4.5	9.6		3.5	
250	250	1000	0.4	0.660	0.158	0.248	4.2	2.7	0.680	0.139	0.058	4.9	11.7		4.3	
250	250	1000	0.5	0.582	0.141	0.276	4.1	2.1	0.743	0.140	0.109	5.3	6.8		2.5	
250	500	1000	0	1.163	0.284	0.227	4.1	5.1	1.206	0.278	0.108	4.3	11.2		2.1	
250	500	1000	0.1	1.135	0.277	0.237	4.1	4.8	1.204	0.273	0.103	4.4	11.7		2.3	
250	500	1000	0.2	1.138	0.290	0.248	3.9	4.6	1.192	0.278	0.132	4.3	9.0		1.9	
250	500	1000	0.3	1.174	0.288	0.234	4.1	5.0	1.233	0.275	0.098	4.5	12.6		2.4	
250	500	1000	0.4	1.148	0.277	0.254	4.1	4.5	1.275	0.276	0.094	4.6	13.6		2.7	
250	500	1000	0.5	1.136	0.276	0.254	4.1	4.5	1.262	0.278	0.080	4.5	15.8		3.2	
250	750	1000	0	1.727	0.425	0.288	4.1	6.0	1.792	0.410	0.126	4.4	14.2		2.3	
250	750	1000	0.1	1.699	0.414	0.261	4.1	6.5	1.803	0.414	0.063	4.4	28.6		4.1	
250	750	1000	0.2	1.738	0.413	0.265	4.2	6.6	1.792	0.410	0.133	4.4	13.5		2.0	
250	750	1000	0.3	1.714	0.428	0.270	4.0	6.3	1.898	0.409	0.096	4.6	19.8		2.8	
250	750	1000	0.4	1.731	0.415	0.281	4.2	6.2	1.776	0.412	0.147	4.3	12.1		1.9	
250	750	1000	0.5	1.739	0.411	0.269	4.2	6.5	1.729	0.409	0.163	4.2	10.6		1.7	
250	1000	1000	0	2.271	0.555	0.288	4.1	7.9	2.325	0.547	0.140	4.3	16.6		2.1	
250	1000	1000	0.1	2.293	0.555	0.235	4.1	9.8	2.332	0.546	0.122	4.3	19.1		1.9	
250	1000	1000	0.2	2.275	0.566	0.242	4.0	9.4	2.356	0.551	0.122	4.3	19.3		2.0	
250	1000	1000	0.3	2.275	0.553	0.331	4.1	6.9	2.304	0.545	0.117	4.2	19.7		2.8	
250	1000	1000	0.4	2.317	0.552	0.321	4.2	7.2	2.312	0.563	0.233	4.1	9.9		1.4	
250	1000	1000	0.5	2.292	0.568	0.266	4.0	8.6	2.354	0.550	0.139	4.3	16.9		1.9	
250	1250	1000	0	2.864	0.712	0.330	4.0	8.7	2.863	0.690	0.185	4.1	15.5		1.8	
250	1250	1000	0.1	2.856	0.706	0.320	4.0	8.9	2.890	0.691	0.111	4.2	26.0		2.9	
250	1250	1000	0.2	2.866	0.691	0.298	4.1	9.6	2.858	0.683	0.136	4.2	21.0		2.2	
250	1250	1000	0.3	2.868	0.693	0.238	4.1	12.1	2.845	0.683	0.142	4.2	20.0		1.7	
250	1250	1000	0.4	2.862	0.687	0.258	4.2	11.1	2.894	0.686	0.117	4.2	24.7		2.2	
250	1250	1000	0.5	2.878	0.693	0.278	4.2	10.4	2.864	0.683	0.148	4.2	19.4		1.9	
250	1500	1000	0	3.410	0.856	0.291	4.0	11.7	3.403	0.820	0.169	4.2	20.1		1.7	
250	1500	1000	0.1	3.442	0.839	0.312	4.1	11.0	3.603	0.840	0.140	4.3	25.7		2.2	
250	1500	1000	0.2	3.415	0.844	0.300	4.0	11.4	3.445	0.818	0.138	4.2	25.0		2.2	
250	1500	1000	0.3	3.407	0.844	0.272	4.0	12.5	3.686	0.814	0.140	4.5	26.3		1.9	
250	1500	1000	0.4	3.455	0.828	0.282	4.2	12.3	3.454	0.820	0.137	4.2	25.2		2.1	
250	1500	1000	0.5	3.477	0.825	0.294	4.2	11.8	3.389	0.823	0.200	4.1	16.9		1.5	
250	1750	1000	0	4.062	0.966	0.359	4.2	11.3	3.994	0.957	0.201	4.2	19.9		1.8	
250	1750	1000	0.1	4.004	0.975	0.309	4.1	13.0	3.974	0.976	0.255	4.1	15.6		1.2	
250	1750	1000	0.2	4.077	0.977	0.336	4.2	12.1	3.961	0.953	0.223	4.2	17.8		1.5	
250	1750	1000	0.3	4.008	1.035	0.350	3.9	11.5	3.952	0.958	0.171	4.1	23.1		2.0	
250	1750	1000	0.4	4.072	0.995	0.366	4.1	11.1	4.003	0.968	0.231	4.1	17.3		1.6	
250	1750	1000	0.5	4.135	0.971	0.347	4.3	11.9	3.969	0.974	0.253	4.1	15.7		1.4	
250	2000	1000	0	4.692	1.137	0.365	4.1	12.9	4.510	1.115	0.216	4.0	20.9		1.7	
250	2000	1000	0.1	4.655	1.139	0.354	4.1	13.1	4.549	1.120	0.204	4.1	22.3		1.7	
250	2000	1000	0.2	4.621	1.133	0.346	4.1	13.4	4.559	1.103	0.191	4.1	23.9		1.8	
250	2000	1000	0.3	4.613	1.144	0.339	4.0	13.6	4.549	1.136	0.280	4.0	16.2		1.2	
250	2000	1000	0.4	4.588	1.113	0.321	4.1	14.3	4.531	1.102	0.157	4.1	28.9		2.0	
250	2000	1000	0.5	4.625	1.125	0.354	4.1	13.1	4.512	1.113	0.161	4.1	28.0		2.2	
250	2250	1000	0	5.169	1.287	0.385	4.0	13.4	5.083	1.230	0.183	4.1	27.8		2.1	
250	2250	1000	0.1	5.228	1.320	0.379	4.0	13.8	5.111	1.242	0.200	4.1	25.6		1.9	
250	2250	1000	0.2	5.240	1.290	0.344	4.1	15.2	5.107	1.236	0.186	4.1	27.5		1.8	
250	2250	1000	0.3	5.243	1.365	0.370	3.8	14.2	5.101	1.234	0.224	4.1	22.8		1.7	
250	2250	1000	0.4	5.315	1.263	0.361	4.2	14.7	5.092	1.243	0.226	4.1	22.5		1.6	
250	2250	1000	0.5	5.240	1.406	0.376	3.7	13.9	5.089	1.237	0.208	4.1	24.5		1.8	
250	2500	1000	0	5.880	1.401	0.387	4.2	15.2	5.644	1.389	0.192	4.1	29.4		2.0	
250	2500	1000	0.1	5.880	1.380	0.357	4.3	16.5	5.645	1.394	0.231	4.0	24.4		1.5	
250	2500	1000	0.2	5.897	1.384	0.376	4.3	15.7	5.687	1.409	0.300	4.0	19.0		1.3	
250	2500	1000	0.3	5.899	1.390	0.376	4.2	15.7	5.620	1.395	0.265	4.0	21.2		1.4	
250	2500	1000	0.4	5.888	1.388	0.350	4.2	16.8	5.656	1.386	0.222	4.1	25.5		1.6	
250	2500	1000	0.5	5.909	1.385	0.382	4.3	15.5	5.649	1.400	0.372	4.0	15.2		1.0	
250	2750	1000	0	6.433	1.527	0.385	4.2	16.7	6.237	1.522	0.295	4.1	21.1		1.3	
250	2750	1000	0.1	6.363	1.573	0.410	4.0	15.5	6.208	1.521	0.219	4.1	28.3		1.9	
250	2750	1000	0.2	6.376	1.625	0.400	3.9	15.9	6.202	1.516	0.209	4.1	29.7		1.9	
250	2750	1000	0.3	6.384	1.541	0.372	4.1	17.2	6.206	1.521	0.204	4.1	30.4		1.8	
250	2750	1000	0.4	6.337	1.591	0.378	4.0	16.8	6.211	1.514	0.385	4.1	16.1		1.0	
250	2750	1000	0.5	6.345	1.537	0.362	4.1	17.5	6.384	1.510	0.314	4.2	20.3		1.2	
250	3000	1000	0	6.937	1.675	0.353	4.1	19.7	6.772	1.676	0.277	4.0	24.4		1.3	
250	3000	1000	0.1	6.939	1.660	0.386	4.2	18.0	6.828	1.672	0.291	4.1	23.5		1.3	
250	3000	1000	0.2	6.919	1.679	0.285	4.1	24.3	6.765	1.676	0.392	4.0	17.3		0.7	
250	3000	1000	0.3	6.949	1.722	0.333	4.0	20.9	6.780	1.666	0.270	4.1	25.1		1.2	
250	3000	1000	0.4	6.846	1.727	0.294	4.0	23.3	6.923	1.682	0.358	4.1	19.3		0.8	
250	3000	1000	0.5	6.913	1.690	0.310	4.1	22.3	6.784	1.666	0.238	4.1	28.5		1.3	
250	3250	1000	0	7.446	1.914	0.366	3.9	20.3	7.347	1.791	0.296	4.1	24.8		1.2	
250	3250	1000	0.1	7.512	1.834	0.423	4.1	17.8	7.372	1.798	0.276	4.1	26.7		1.5	
250	3250	1000	0.2	7.511	1.859	0.385	4.0	19.5	7.507	1.854	0.361	4.0	20.8		1.1	
250	3250	1000	0.3	7.522	1.854	0.385	4.1	19.5	7.347	1.815	0.336	4.0	21.9		1.1	
250	3250	1000	0.4	7.471	1.858	0.447	4.0	16.7	7.324	1.809	0.361	4.0	20.3		1.2	
250	3250	1000	0.5	7.498	1.830	0.389	4.1	19.3	7.393	1.821	0.328	4.1	22.5		1.2	
250	3500	1000	0	8.165	1.947	0.365	4.2	22.4	8.021	1.933	0.288	4.1	27.9		1.3	
250	3500	1000	0.1	8.233	1.954	0.394	4.2	20.9	7.941	1.941	0.357	4.1	22.2		1.1	
250	3500	1000	0.2	8.074	2.034	0.402	4.0	20.1	7.920	1.956	0.284	4.0	27.9		1.4	
250	3500	1000	0.3	7.992	1.992	0.405	4.0	19.7	7.957	1.965	0.346	4.0	23.0		1.2	
250	3500	1000	0.4	8.057	1.974	0.346	4.1	23.3	7.932	1.939	0.393	4.1	20.2		0.9	
250	3500	1000	0.5	8.446	1.985	0.379	4.3	22.3	7.934	1.949	0.289	4.1	27.5		1.3	
250	3750	1000	0	8.781	2.169	0.429	4.0	20.5	8.552	2.122	0.231	4.0	37.0		1.9	
250	3750	1000	0.1	8.988	2.139	0.481	4.2	18.7	8.493	2.107	0.233	4.0	36.5		2.1	
250	3750	1000	0.2	8.720	2.129	0.447	4.1	19.5	8.507	2.096	0.287	4.1	29.6		1.6	
250	3750	1000	0.3	8.694	2.140	0.468	4.1	18.6	8.500	2.088	0.228	4.1	37.3		2.1	
250	3750	1000	0.4	8.663	2.141	0.481	4.0	18.0	8.501	2.103	0.286	4.0	29.7		1.7	
250	3750	1000	0.5	8.711	2.153	0.468	4.0	18.6	8.499	2.105	0.266	4.0	32.0		1.8	
250	4000	1000	0	9.332	2.312	0.474	4.0	19.7	9.101	2.263	0.306	4.0	29.7		1.5	
250	4000	1000	0.1	9.238	2.309	0.467	4.0	19.8	9.094	2.239	0.338	4.1	26.9		1.4	
250	4000	1000	0.2	9.268	2.302	0.408	4.0	22.7	9.080	2.252	0.334	4.0	27.2		1.2	
250	4000	1000	0.3	9.248	2.326	0.476	4.0	19.4	9.068	2.253	0.372	4.0	24.4		1.3	
250	4000	1000	0.4	9.245	2.350	0.389	3.9	23.8	9.095	2.256	0.328	4.0	27.7		1.2	
250	4000	1000	0.5	9.567	2.354	0.395	4.1	24.2	9.076	2.240	0.365	4.1	24.9		1.1	
250	4250	1000	0	9.853	2.470	0.384	4.0	25.7	9.784	2.406	0.324	4.1	30.2		1.2	
250	4250	1000	0.1	9.933	2.453	0.442	4.0	22.5	9.652	2.411	0.399	4.0	24.2		1.1	
250	4250	1000	0.2	9.839	2.477	0.406	4.0	24.2	10.020	2.437	0.378	4.1	26.5		1.1	
250	4250	1000	0.3	9.950	2.459	0.406	4.0	24.5	9.707	2.430	0.394	4.0	24.6		1.0	
250	4250	1000	0.4	9.875	2.433	0.513	4.1	19.2	9.712	2.404	0.286	4.0	34.0		1.8	
250	4250	1000	0.5	10.108	2.508	0.433	4.0	23.3	9.741	2.428	0.395	4.0	24.7		1.1	
250	4500	1000	0	10.828	2.597	0.368	4.2	29.4	10.224	2.583	0.377	4.0	27.1		1.0	
250	4500	1000	0.1	10.445	2.598	0.392	4.0	26.6	10.246	2.586	0.369	4.0	27.8		1.1	
250	4500	1000	0.2	10.472	2.626	0.391	4.0	26.8	10.244	2.572	0.348	4.0	29.4		1.1	
250	4500	1000	0.3	10.455	2.658	0.401	3.9	26.1	10.232	2.575	0.376	4.0	27.2		1.1	
250	4500	1000	0.4	10.636	2.675	0.491	4.0	21.7	10.245	2.579	0.376	4.0	27.2		1.3	
250	4500	1000	0.5	10.452	2.661	0.365	3.9	28.6	10.280	2.586	0.480	4.0	21.4		0.8	
250	4750	1000	0	11.030	2.757	0.450	4.0	24.5	10.882	2.737	0.394	4.0	27.6		1.1	
250	4750	1000	0.1	11.046	2.814	0.514	3.9	21.5	10.849	2.729	0.364	4.0	29.8		1.4	
250	4750	1000	0.2	11.074	2.832	0.495	3.9	22.4	11.152	2.724	0.387	4.1	28.8		1.3	
250	4750	1000	0.3	11.064	2.828	0.509	3.9	21.7	11.071	2.718	0.390	4.1	28.4		1.3	
250	4750	1000	0.4	11.089	2.761	0.442	4.0	25.1	10.832	2.744	0.427	3.9	25.4		1.0	
250	4750	1000	0.5	11.062	2.827	0.512	3.9	21.6	10.812	2.722	0.431	4.0	25.1		1.2	
250	5000	1000	0	11.728	3.015	0.506	3.9	23.2	11.732	2.871	0.369	4.1	31.8		1.4	
250	5000	1000	0.1	11.678	3.001	0.479	3.9	24.4	11.670	2.923	0.428	4.0	27.3		1.1	
250	5000	1000	0.2	11.676	3.032	0.488	3.9	23.9	11.369	2.900	0.356	3.9	31.9		1.4	
250	5000	1000	0.3	11.687	2.965	0.472	3.9	24.8	11.505	2.890	0.432	4.0	26.6		1.1	
250	5000	1000	0.4	11.937	3.020	0.498	4.0	24.0	11.807	2.897	0.368	4.1	32.1		1.4	
250	5000	1000	0.5	11.679	2.945	0.508	4.0	23.0	11.730	2.900	0.394	4.0	29.8		1.3	
250	5250	1000	0	12.304	3.162	0.513	3.9	24.0	12.100	3.035	0.445	4.0	27.2		1.2	
250	5250	1000	0.1	12.193	3.313	0.504	3.7	24.2	11.978	3.025	0.436	4.0	27.5		1.2	
250	5250	1000	0.2	12.175	3.361	0.463	3.6	26.3	11.977	3.049	0.393	3.9	30.5		1.2	
250	5250	1000	0.3	12.199	3.301	0.505	3.7	24.2	11.969	3.025	0.390	4.0	30.7		1.3	
250	5250	1000	0.4	12.184	3.326	0.415	3.7	29.4	11.980	3.026	0.371	4.0	32.3		1.1	
250	5250	1000	0.5	12.255	3.143	0.458	3.9	26.8	12.013	3.051	0.479	3.9	25.1		1.0	
250	5500	1000	0	12.823	3.254	0.444	3.9	28.9	12.570	3.210	0.388	3.9	32.4		1.1	
250	5500	1000	0.1	13.040	3.258	0.423	4.0	30.8	12.572	3.206	0.458	3.9	27.4		0.9	
250	5500	1000	0.2	12.852	3.295	0.482	3.9	26.7	12.551	3.183	0.371	3.9	33.8		1.3	
250	5500	1000	0.3	12.780	3.399	0.486	3.8	26.3	12.878	3.208	0.515	4.0	25.0		0.9	
250	5500	1000	0.4	12.819	3.235	0.536	4.0	23.9	12.547	3.211	0.449	3.9	27.9		1.2	
250	5500	1000	0.5	12.803	3.409	0.499	3.8	25.7	12.561	3.204	0.512	3.9	24.5		1.0	
250	5750	1000	0	13.486	3.478	0.473	3.9	28.5	13.162	3.375	0.467	3.9	28.2		1.0	
250	5750	1000	0.1	13.739	3.478	0.529	4.0	26.0	13.138	3.342	0.421	3.9	31.2		1.3	
250	5750	1000	0.2	13.367	3.450	0.460	3.9	29.1	13.153	3.333	0.530	3.9	24.8		0.9	
250	5750	1000	0.3	13.448	3.462	0.453	3.9	29.7	13.261	3.357	0.488	4.0	27.2		0.9	
250	5750	1000	0.4	13.460	3.463	0.442	3.9	30.5	13.594	3.370	0.451	4.0	30.1		1.0	
250	5750	1000	0.5	13.464	3.460	0.438	3.9	30.7	13.133	3.356	0.451	3.9	29.1		1.0	
250	6000	1000	0	13.922	3.625	0.485	3.8	28.7	13.745	3.526	0.464	3.9	29.6		1.0	
250	6000	1000	0.1	14.086	3.573	0.475	3.9	29.7	13.812	3.534	0.441	3.9	31.3		1.1	
250	6000	1000	0.2	14.016	3.613	0.451	3.9	31.1	13.956	3.562	0.507	3.9	27.5		0.9	
250	6000	1000	0.3	14.043	3.659	0.476	3.8	29.5	13.704	3.522	0.452	3.9	30.3		1.1	
250	6000	1000	0.4	13.887	3.608	0.507	3.8	27.4	14.228	3.509	0.433	4.1	32.9		1.2	
250	6000	1000	0.5	14.047	3.579	0.419	3.9	33.5	13.685	3.543	0.446	3.9	30.7		0.9	
250	6250	1000	0	14.610	3.811	0.452	3.8	32.3	14.268	3.623	0.485	3.9	29.4		0.9	
250	6250	1000	0.1	14.941	3.831	0.478	3.9	31.3	14.342	3.667	0.416	3.9	34.5		1.1	
250	6250	1000	0.2	14.717	3.731	0.444	3.9	33.1	14.281	3.694	0.471	3.9	30.3		0.9	
250	6250	1000	0.3	14.572	3.785	0.488	3.8	29.9	14.431	3.685	0.491	3.9	29.4		1.0	
250	6250	1000	0.4	14.842	3.777	0.517	3.9	28.7	14.275	3.686	0.427	3.9	33.4		1.2	
250	6250	1000	0.5	14.603	3.800	0.457	3.8	32.0	14.243	3.710	0.505	3.8	28.2		0.9	
250	6500	1000	0	15.240	3.893	0.479	3.9	31.8	14.848	3.832	0.542	3.9	27.4		0.9	
250	6500	1000	0.1	15.268	3.851	0.405	4.0	37.7	14.987	3.803	0.486	3.9	30.8		0.8	
250	6500	1000	0.2	15.567	3.871	0.440	4.0	35.4	15.079	3.791	0.524	4.0	28.8		0.8	
250	6500	1000	0.3	15.279	3.857	0.520	4.0	29.4	14.965	3.788	0.458	4.0	32.7		1.1	
250	6500	1000	0.4	15.327	3.812	0.561	4.0	27.3	14.888	3.819	0.449	3.9	33.2		1.2	
250	6500	1000	0.5	15.318	3.815	0.522	4.0	29.3	15.247	3.801	0.482	4.0	31.6		1.1	
250	6750	1000	0	15.779	4.088	0.561	3.9	28.1	15.544	3.918	0.525	4.0	29.6		1.1	
250	6750	1000	0.1	15.674	4.104	0.524	3.8	29.9	15.431	3.971	0.585	3.9	26.4		0.9	
250	6750	1000	0.2	15.686	4.121	0.518	3.8	30.3	15.469	3.985	0.559	3.9	27.7		0.9	
250	6750	1000	0.3	15.587	4.242	0.536	3.7	29.1	15.390	4.004	0.565	3.8	27.2		0.9	
250	6750	1000	0.4	15.689	4.244	0.562	3.7	27.9	15.680	4.009	0.522	3.9	30.0		1.1	
250	6750	1000	0.5	15.843	4.090	0.445	3.9	35.6	15.790	4.082	0.530	3.9	29.8		0.8	
250	7000	1000	0	16.419	4.193	0.574	3.9	28.6	16.016	4.133	0.630	3.9	25.4		0.9	
250	7000	1000	0.1	16.763	4.216	0.544	4.0	30.8	16.442	4.177	0.587	3.9	28.0		0.9	
250	7000	1000	0.2	16.357	4.288	0.582	3.8	28.1	15.998	4.171	0.513	3.8	31.2		1.1	
250	7000	1000	0.3	16.626	4.210	0.555	3.9	30.0	16.028	4.123	0.424	3.9	37.8		1.3	
250	7000	1000	0.4	16.318	4.352	0.400	3.7	40.8	16.018	4.125	0.531	3.9	30.2		0.8	
250	7000	1000	0.5	16.414	4.208	0.467	3.9	35.1	16.121	4.129	0.510	3.9	31.6		0.9	
250	7250	1000	0	16.885	4.444	0.426	3.8	39.6	17.098	4.322	0.451	4.0	37.9		0.9	
250	7250	1000	0.1	17.328	4.378	0.537	4.0	32.3	16.612	4.261	0.454	3.9	36.6		1.2	
250	7250	1000	0.2	16.892	4.529	0.507	3.7	33.3	16.865	4.263	0.451	4.0	37.4		1.1	
250	7250	1000	0.3	17.002	4.411	0.517	3.9	32.9	16.595	4.285	0.444	3.9	37.4		1.2	
