				R openBLAS					R MKL					MKL vs openBLAS		
				Runtime			Speedup		Runtime			Speedup		Mean & stdev	1.3	0.7
p	n	m	missing	cor	naive	matrix	naive	matrix	cor	naive	matrix	naive	matrix			
250	4250	750	0	7.258	1.769	0.306	4.1	23.7	7.529	1.748	0.264	4.3	28.5		1.2	
250	4250	750	0.1	7.235	1.780	0.380	4.1	19.0	7.131	1.741	0.330	4.1	21.6		1.2	
250	4250	750	0.2	7.229	1.761	0.357	4.1	20.2	7.115	1.740	0.263	4.1	27.1		1.4	
250	4250	750	0.3	7.219	1.759	0.376	4.1	19.2	7.504	1.753	0.257	4.3	29.2		1.5	
250	4250	750	0.4	7.270	1.785	0.392	4.1	18.5	7.119	1.746	0.236	4.1	30.2		1.7	
250	4250	750	0.5	7.237	1.771	0.310	4.1	23.3	7.115	1.745	0.295	4.1	24.1		1.1	
250	4500	750	0	7.623	1.846	0.411	4.1	18.5	7.606	1.855	0.278	4.1	27.4		1.5	
250	4500	750	0.1	7.709	1.880	0.388	4.1	19.9	7.555	1.849	0.271	4.1	27.9		1.4	
250	4500	750	0.2	7.686	1.875	0.383	4.1	20.1	7.554	1.845	0.262	4.1	28.8		1.5	
250	4500	750	0.3	7.697	1.862	0.361	4.1	21.3	7.933	1.855	0.248	4.3	32.0		1.5	
250	4500	750	0.4	7.684	1.874	0.362	4.1	21.2	7.538	1.846	0.302	4.1	25.0		1.2	
250	4500	750	0.5	7.629	1.872	0.351	4.1	21.7	7.929	1.864	0.323	4.3	24.5		1.1	
250	4750	750	0	8.073	1.989	0.370	4.1	21.8	7.987	1.960	0.297	4.1	26.9		1.2	
